gemeente;gemeente_id;bureau_id;bureau_label;bureau_zip_opgezocht;Lat;Long;total_counted;cast;percentage_gestemd;percentage_gestemd_95_100;percentage_gestemd_65_95;percentage_gestemd_tot_65;aantal_niet_gestemd;VVD;PvDA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50PLUS;OndernemersPartij;VNL (VoorNederland);DENK;Forum voor Democratie;De Burger Beweging;Vrijzinnige Partij;GeenPeil;Piratenpartij;Libertarische Partij (LP);Lokaal in de Kamer;Artikel 1;grootste_partij_w;tweede_grootste_partij_w;derde_grootste_partij_w;grootste_partij;tweede_grootste_partij;derde_grootste_partij;INWONER;MAN;VROUW;INW_014;INW_1524;INW_2544;INW_4564;INW_65PL;P_NL_ACHTG;P_WE_MIG_A;P_NW_MIG_A;AANTAL_HH;TOTHH_EENP;TOTHH_MPZK;HH_EENOUD;HH_TWEEOUD;GEM_HH_GR;WONING;WONVOOR45;WON_4564;WON_6574;WON_7584;WON_8594;WON_9504;WON_0514;WON_1524;P_HUURWON;P_KOOPWON;WON_HCORP;WON_MRGEZ;WON_NBEW;WOZWONING;G_GAS_WON;G_ELEK_WON
Staphorst;180;0180::SB1;Gemeentehuis, Binnenweg 26;7951DE;52,64253753;6,207826572;1356;1385;0,979061372;1;0;0;29;119;36;151;48;212;22;156;33;527;7;15;2;2;0;21;1;1;0;1;0;0;0;9;5;7;SGP;CDA;CU;25;15;10;;;;10;10;90;;;10;;5;;;2,3;15;;;;5;5;;;;;90;;;;290;2700;3130
Staphorst;180;0180::SB2;Dienstencentrum, Berkenlaan 1;7951CA;52,648684;6,206716073;1317;1517;0,868160844;0;1;0;200;115;62;161;48;248;33;164;30;394;8;23;0;4;0;19;2;0;1;1;0;0;1;9;5;7;SGP;CDA;CU;30;15;15;10;;10;;;100;;;10;;;;5;3,4;10;;10;;;;;;;;;;;;224;2010;3840
Staphorst;180;0180::SB3;NH Dienstgebouw, ORW 450;7954GD;52,61100395;6,190600024;1793;1733;1;1;0;0;0;97;7;96;23;465;19;740;18;294;5;7;1;5;0;9;0;1;0;3;0;2;0;7;5;9;CU;CDA;SGP;90;40;50;25;10;30;15;15;100;;;30;10;5;;15;2,9;30;10;5;;;;;10;;20;80;;10;;264;2240;3560
Staphorst;180;0180::SB4;Caf̩/restaurant 't Centrum, ORW 141;7951CE;52,64661917;6,208321037;1375;1616;0,850866337;0;1;0;241;56;8;65;9;178;8;185;7;825;7;6;0;1;0;19;0;0;1;0;0;0;0;9;7;5;SGP;CU;CDA;25;15;10;5;5;;5;5;80;;;10;5;;;;3,1;10;5;;;;;;;;;60;;;;307;2750;4470
Staphorst;180;0180::SB5;Caf̩/restaurant 't Vosje, Heerenweg 36;7955PE;52,66058181;6,291453157;1079;1370;0,787591241;0;1;0;291;296;69;95;61;134;143;33;73;53;54;40;1;2;0;17;1;0;0;2;0;1;0;1;6;5;VVD;D66;CDA;45;25;20;5;10;;20;5;100;;;20;;;;5;2,4;20;5;5;;;;;;;;80;;5;;239;2910;3870
Staphorst;180;0180::SB6;Maarten Lutherschool, MRr JB Kanlaan 32;7715PM;52,61665074;6,255469193;769;842;0,913301663;0;1;0;73;52;9;65;14;124;9;128;13;337;3;7;0;0;0;6;0;0;0;1;0;1;0;9;7;5;SGP;CU;CDA;65;35;30;10;10;15;20;10;90;;;25;;10;;10;2,7;25;5;;10;;;;;;30;70;;5;;288;2160;3820
Staphorst;180;0180::SB7;Pr. Mauritsschool, Gemeenteweg 326a;7951PR;52,67829545;6,222191603;1073;1193;0,899413244;0;1;0;120;67;1;57;9;116;12;78;9;703;4;9;0;1;0;6;0;0;0;0;0;1;0;9;5;7;SGP;CDA;CU;20;10;10;5;;;;10;100;;;10;;;;;2,8;10;5;;;;;;;;;;;;;308;2160;3110
Staphorst;180;0180::SB8;Sporthal, Hoogeweg 21;7951DV;52,64042062;6,211491127;1261;1355;0,930627306;0;1;0;94;163;23;140;44;268;35;178;19;316;11;23;0;4;0;33;0;0;1;1;0;0;0;9;5;7;SGP;CDA;CU;75;40;35;5;10;10;30;20;100;;;30;;15;;10;2,6;25;;;;5;10;10;;;;100;;;;312;2320;4140
Staphorst;180;0180::SB9;OBS De Berkenhorst, Staphorster Kerkweg 40;7951JS;52,63903636;6,21546911;772;870;0,887356322;0;1;0;98;130;7;76;24;148;28;109;10;210;12;6;0;1;0;6;0;0;1;3;0;0;0;9;5;1;SGP;CDA;VVD;65;35;25;10;20;5;20;5;100;;;20;;;;10;3,6;20;;;;;20;;;;;80;;;;322;2360;4050
Stede Broec;532;0532::SB1;Verenigingsgebouw De Wurf;1614SH;52,69765602;5,206133626;1566;1876;0,834754797;0;1;0;310;490;64;223;118;301;144;7;61;2;30;77;6;7;1;20;2;0;0;3;0;4;0;1;5;3;VVD;CDA;PVV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
